,taxonomicNameString,fullNameWithAuthorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarNameGroup,taxonomicNameAuthorship,combinationAuthorship,basionymAuthorship,combinationExAuthorship,basionymExAuthorship,nomenclaturalStatus,basedOn,kindOfName,nameRegistrationString,verbatimTaxonomicNameString
1,Manota williamsi,0.0,specificEpithet,0.0,Manota,0.0,williamsi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manota williamsi sp.
2,Manota kerri,0.0,specificEpithet,0.0,Manota,0.0,kerri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manota kerri sp.
3,Manota williamsi,0.0,specificEpithet,0.0,Manota,0.0,williamsi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manota williamsi sp.
4,Manota kerri,0.0,specificEpithet,0.0,Manota,0.0,kerri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manota kerri sp.
5,Manota williamsi,0.0,specificEpithet,0.0,Manota,0.0,williamsi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manota williamsi sp.
6,Manota kerri,0.0,specificEpithet,0.0,Manota,0.0,kerri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manota kerri sp.
7,Manota williamsi,0.0,specificEpithet,0.0,Manota,0.0,williamsi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manota williamsi sp.
8,Manota williamsi,0.0,specificEpithet,0.0,Manota,0.0,williamsi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manota williamsi sp.
9,Hippa,0.0,0.0,Hippa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hippa (2007), Manota kerri sp."
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
